Year,SERIES,REF_AREA,GeoCode,Value
2015,IS_TRP_MAILTKM,,,305.0
2016,IS_TRP_MAILTKM,,,249.9
2017,IS_TRP_MAILTKM,,,266.6
2018,IS_TRP_MAILTKM,,,339.7
2019,IS_TRP_MAILTKM,,,254.9
2020,IS_TRP_MAILTKM,,,173.6
2015,IS_RDP_FRGVOL,,,7577.5
2016,IS_RDP_FRGVOL,,,6660.9
2017,IS_RDP_FRGVOL,,,8226.1
2018,IS_RDP_FRGVOL,,,10732.4
2019,IS_RDP_FRGVOL,,,12094.8
2020,IS_RDP_FRGVOL,,,11176.7
2015,IS_RDP_PFVOL,,,641817.0
2016,IS_RDP_PFVOL,,,771454.0
2017,IS_RDP_PFVOL,,,856167.0
2018,IS_RDP_PFVOL,,,1151300.0
2019,IS_RDP_PFVOL,,,1145867.0
2020,IS_RDP_PFVOL,,,277942.0
2021,IS_RDP_PFVOL,,,614215.0
2022,IS_RDP_PFVOL,,,788386.0
